Trait,fpScoreSetID,ScoreSetCreationDate,fpNodeId,sampleNum,Value,Row,Column,line id,line name,packet_stemid,position,pot_stemid
Flowering Date,196,20180725,280744,1,20180806,16,9,192,BABBLER,ST50PKT0YJCS,1P9,ST50PT0W36P
Flowering Date,196,20180725,280746,1,20180827,16,11,83,MOLINEUX,ST50PKT0YJCQ,1P11,ST50PT0W3YC
Flowering Date,196,20180725,280747,1,20180822,16,12,47,WARIGAL,ST50PKT0YJCP,1P12,ST50PT0W45C
Flowering Date,196,20180725,280748,1,20180808,17,1,216,GS50A,ST50PKT0YJCN,2A1,ST50PT0W2XC
Flowering Date,196,20180725,280749,1,20180806,17,2,54,ERADU,ST50PKT0YJCM,2A2,ST50PT0W40R
Flowering Date,196,20180725,280750,1,NA,17,3,14,CURRAWA,ST50PKT0YJCL,2A3,ST50PT0W48H
Flowering Date,196,20180725,280752,1,20180808,17,5,97,BATAVIA,ST50PKT0YJCJ,2A5,ST50PT0W3T2
Flowering Date,196,20180725,280753,1,20180903,17,6,56,MATONG,ST50PKT0YJCH,2A6,ST50PT0W40D
Flowering Date,196,20180725,280754,1,20180810,17,7,213,EGA_WEDGETAIL,ST50PKT0YJCG,2A7,ST50PT0W2XY
Flowering Date,196,20180725,280755,1,20180808,17,8,136,TAMMIN,ST50PKT0YJCF,2A8,ST50PT0W3KJ
Flowering Date,196,20180725,280756,1,20180801,17,9,246,WAAGAN,ST50PKT0YJCD,2A9,ST50PT0W318
Flowering Date,196,20180725,280757,1,20180813,17,10,87,PEROUSE,ST50PKT0YJCC,2A10,ST50PT0W3RR
Flowering Date,196,20180725,280758,1,20180806,17,11,259,KORD_CL_PLUS,ST50PKT0YJCB,2A11,ST50PT0W2VS
Flowering Date,196,20180725,280759,1,NA,17,12,257,SABEL_CL_PLUS,ST50PKT0YJC9,2A12,ST50PT0W2W6
Flowering Date,196,20180725,280760,1,20180806,18,1,129,ROWAN,ST50PKT0YJC8,2B1,ST50PT0W3NG
Flowering Date,196,20180725,280761,1,20180801,18,2,212,WYALKATCHEM,ST50PKT0YJC7,2B2,ST50PT0W2Y5
Flowering Date,196,20180725,280763,1,20180806,18,4,102,BABAX,ST50PKT0YJC5,2B4,ST50PT0W3QF
Flowering Date,196,20180725,280764,1,20180927,18,5,35,WW15,ST50PKT0YJC4,2B5,ST50PT0W4BW
Flowering Date,196,20180725,280765,1,20180913,18,6,137,DATATINE,ST50PKT0YJC3,2B6,ST50PT0W3KB
Flowering Date,196,20180725,280766,1,20180808,18,7,177,WORRAKATTA,ST50PKT0YJC2,2B7,ST50PT0W39L
