fpNodeId,Row,Column,line id,line name,packet_stemid,position,pot_stemid,Flowering Date_20180524.40.1,Flowering Date_20180725.15.1,Flowering Date_20180817.2.1,final leaf number_20180524.41.1,final leaf number_20181204.26.1,final leaf number_20181210.31.1,spikelet number_20180524.42.1,spikelet number_20181204.27.1,spikelet number_20181210.32.1,Height_20180524.43.1,Height_20181204.28.1,Height_20181210.33.1,tillers_20180524.44.1,tillers_20181204.29.1,tillers_20181210.34.1,empty spikelets_20180524.45.1,empty spikelets_20181204.30.1,empty spikelets_20181210.35.1,Spike Length_20181122.59.1,Spike Length_20181204.31.1,Spike Length_20181210.36.1,Photo_20181129.60.1,Photo_20181204.32.1,seed weight_20190208.65.1,plant_date_20190318.1.1,vern_end_date_20190318.1.1
280664,10,1,196,MIRA,ST50PKT0YJGC,1J1,ST50PT0W35X,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,NA,20180413,20180613
280665,10,2,92,CUNNINGHAM,ST50PKT0YJGB,1J2,ST50PT0W3QS,,20180808,,,9,,,17,,,353,,,8,,,17,,,75,,,NA,7.1,20180413,20180613
280666,10,3,202,STYLET,ST50PKT0YJG9,1J3,ST50PT0W3CD,,20180910,,,10,,,18,,,445,,,8,,,5,,,75,,,NA,11.94,20180413,20180613
280667,10,4,64,WYUNA,ST50PKT0YJG8,1J4,ST50PT0W43N,,20180820,,,9,,,21,,,300,,,4,,,1,,,75,,,NA,6.8,20180413,20180613
280668,10,5,247,NAPAROO,ST50PKT0YJG7,1J5,ST50PT0W312,,20180831,,,11,,,23,,,529,,,3,,,4,,,75,,,NA,4.32,20180413,20180613
280669,10,6,131,SUNVALE,ST50PKT0YJG6,1J6,ST50PT0W3N3,,20180813,,,8,,,18,,,316,,,4,,,5,,,71,,,NA,1.96,20180413,20180613
280670,10,7,72,VULCAN,ST50PKT0YJG5,1J7,ST50PT0W424,,20180806,,,7,,,13,,,408,,,3,,,1,,,56,,,NA,1.54,20180413,20180613
280671,10,8,223,AGT_SCYTHE,ST50PKT0YJG4,1J8,ST50PT0W343,,20180820,,,8,,,21,,,325,,,2,,,4,,,61,,,NA,3.02,20180413,20180613
280672,10,9,19,ETAWAH,ST50PKT0YJG3,1J9,ST50PT0W4G0,,20180810,,,7,,,15,,,495,,,6,,,2,,,65,,,NA,2.32,20180413,20180613
280673,10,10,182,ANLACE,ST50PKT0YJG2,1J10,ST50PT0W38M,,20180813,,,7,,,18,,,297,,,3,,,18,,,85,,,NA,0.77,20180413,20180613
280674,10,11,106,PELSART,ST50PKT0YJG1,1J11,ST50PT0W3PQ,,20180806,,,7,,,11,,,345,,,4,,,2,,,56,,,NA,2.07,20180413,20180613
280675,10,12,22,OLYMPIC,ST50PKT0YJG0,1J12,ST50PT0W4FF,,20180903,,,10,,,19,,,370,,,3,,,4,,,71,,,NA,4.28,20180413,20180613
280676,11,1,69,WARBLER,ST50PKT0YJFZ,1K1,ST50PT0W42Q,,20180815,,,10,,,22,,,352,,,5,,,2,,,79,,,NA,5.3,20180413,20180613
280677,11,2,194,PARDALOTE,ST50PKT0YJFY,1K2,ST50PT0W369,,20180815,,,9,,,19,,,342,,,2,,,2,,,65,,,NA,1.56,20180413,20180613
280678,11,3,122,CADOUX,ST50PKT0YJFX,1K3,ST50PT0W3VP,,20180813,,,7,,,19,,,383,,,4,,,1,,,77,,,NA,4.39,20180413,20180613
280679,11,4,200,FROST_RESISTANT_(RUDY),ST50PKT0YJFW,1K4,ST50PT0W354,,20180806,,,7,,,14,,,450,,,2,,,0,,,66,,,NA,3.76,20180413,20180613
280680,11,5,170,AZERBAIJAN_W73337,ST50PKT0YJFV,1K5,ST50PT0W3DK,,20181011,,,12,,,21,,,940,,,4,,,1,,,117,,,ben_95_178_280680_399959820ba7b34e.1543793177_32_1.jpg,4.02,20180413,20180613
280681,11,6,253,AGT_KATANA,ST50PKT0YJFT,1K6,ST50PT0W2P7,,20180808,,,9,,,16,,,400,,,1,,,0,,,65,,,NA,1.97,20180413,20180613
280682,11,7,161,ITALY29,ST50PKT0YJFS,1K7,ST50PT0W3G9,,20181011,,,10,,,21,,,765,,,4,,,2,,,119,,,NA,5.07,20180413,20180613
280683,11,8,105,TASMAN,ST50PKT0YJFR,1K8,ST50PT0W3PW,,20180806,,,7,,,15,,,417,,,2,,,1,,,65,,,NA,2.04,20180413,20180613
280684,11,9,157,SILVERSTAR,ST50PKT0YJFQ,1K9,ST50PT0W3H2,,20180806,,,7,,,15,,,351,,,5,,,1,,,62,,,NA,3.06,20180413,20180613
280685,11,10,50,BINDAWARRA,ST50PKT0YJFP,1K10,ST50PT0W44S,,20180831,,,,,,,,,,,5,,,,,,,,,,,6.9,20180413,20180613
